base_model.model.transformer.h.0.attn.c_attn.lora_route.weight | Module: Linear | input_dim=1600, output_dim=5
base_model.model.transformer.h.0.attn.c_attn.lora_A0.weight | Module: Linear | input_dim=1600, output_dim=13
base_model.model.transformer.h.0.attn.c_attn.lora_B0.weight | Module: Linear | input_dim=13, output_dim=4800
base_model.model.transformer.h.0.attn.c_attn.lora_A1.weight | Module: Linear | input_dim=1600, output_dim=13
base_model.model.transformer.h.0.attn.c_attn.lora_B1.weight | Module: Linear | input_dim=13, output_dim=4800
base_model.model.transformer.h.0.attn.c_attn.lora_A2.weight | Module: Linear | input_dim=1600, output_dim=13
base_model.model.transformer.h.0.attn.c_attn.lora_B2.weight | Module: Linear | input_dim=13, output_dim=4800
base_model.model.transformer.h.0.attn.c_attn.lora_A3.weight | Module: Linear | input_dim=1600, output_dim=13
base_model.model.transformer.h.0.attn.c_attn.lora_B3.weight | Module: Linear | input_dim=13, output_dim=4800
base_model.model.transformer.h.0.attn.c_attn.lora_A4.weight | Module: Linear | input_dim=1600, output_dim=13
base_model.model.transformer.h.0.attn.c_attn.lora_B4.weight | Module: Linear | input_dim=13, output_dim=4800
base_model.model.transformer.h.0.attn.c_proj.lora_route.weight | Module: Linear | input_dim=1600, output_dim=5
base_model.model.transformer.h.0.attn.c_proj.lora_A0.weight | Module: Linear | input_dim=1600, output_dim=13
base_model.model.transformer.h.0.attn.c_proj.lora_B0.weight | Module: Linear | input_dim=13, output_dim=1600
base_model.model.transformer.h.0.attn.c_proj.lora_A1.weight | Module: Linear | input_dim=1600, output_dim=13
base_model.model.transformer.h.0.attn.c_proj.lora_B1.weight | Module: Linear | input_dim=13, output_dim=1600
base_model.model.transformer.h.0.attn.c_proj.lora_A2.weight | Module: Linear | input_dim=1600, output_dim=13
base_model.model.transformer.h.0.attn.c_proj.lora_B2.weight | Module: Linear | input_dim=13, output_dim=1600
base_model.model.transformer.h.0.attn.c_proj.lora_A3.weight | Module: Linear | input_dim=1600, output_dim=13
base_model.model.transformer.h.0.attn.c_proj.lora_B3.weight | Module: Linear | input_dim=13, output_dim=1600
base_model.model.transformer.h.0.attn.c_proj.lora_A4.weight | Module: Linear | input_dim=1600, output_dim=13
base_model.model.transformer.h.0.attn.c_proj.lora_B4.weight | Module: Linear | input_dim=13, output_dim=1600
base_model.model.transformer.h.0.mlp.c_proj.lora_route.weight | Module: Linear | input_dim=6400, output_dim=5
base_model.model.transformer.h.0.mlp.c_proj.lora_A0.weight | Module: Linear | input_dim=6400, output_dim=13
base_model.model.transformer.h.0.mlp.c_proj.lora_B0.weight | Module: Linear | input_dim=13, output_dim=1600
base_model.model.transformer.h.0.mlp.c_proj.lora_A1.weight | Module: Linear | input_dim=6400, output_dim=13
base_model.model.transformer.h.0.mlp.c_proj.lora_B1.weight | Module: Linear | input_dim=13, output_dim=1600
base_model.model.transformer.h.0.mlp.c_proj.lora_A2.weight | Module: Linear | input_dim=6400, output_dim=13
base_model.model.transformer.h.0.mlp.c_proj.lora_B2.weight | Module: Linear | input_dim=13, output_dim=1600
base_model.model.transformer.h.0.mlp.c_proj.lora_A3.weight | Module: Linear | input_dim=6400, output_dim=13
base_model.model.transformer.h.0.mlp.c_proj.lora_B3.weight | Module: Linear | input_dim=13, output_dim=1600
base_model.model.transformer.h.0.mlp.c_proj.lora_A4.weight | Module: Linear | input_dim=6400, output_dim=13
base_model.model.transformer.h.0.mlp.c_proj.lora_B4.weight | Module: Linear | input_dim=13, output_dim=1600
